Date,UC 100mg SQ TRx,CD 100mg SQ TRx,IBD 100mg SQ TRx,UC 200mg SQ TRx,CD 200mg SQ TRx,IBD 200mg SQ TRx,UC Induction,CD Induction,IBD Induction
2025/01/31,11.165176729232925,1.7851984906190737,12.950375219851999,44.401875213113335,7.399454977000659,51.801330190113994,0,0,0
2025/02/07,18.628474493645367,1.3771018069526342,20.005576300598,41.53442426323826,4.614862702601748,46.149286965840005,0,0,0
2025/02/14,18.20706624411837,1.345949386925632,19.553015631044,45.52219919299965,5.057941765720351,50.58014095872,0,0,0
2025/02/21,17.25557274882995,1.2756106475880458,18.531183396417997,67.77243511818499,7.530150920335018,75.30258603852,0,0,0
2025/02/28,19.040036986687404,1.4075263837495946,20.447563370437,74.13871492284709,8.23750410377292,82.37621902662,0,0,0
2025/03/07,35.01843529214703,2.0781993382379653,37.096634630385,106.68118101414589,7.527867675664112,114.20904868981,0,0,0
2025/03/14,35.0996600663974,2.083019692736599,37.182679759134,101.34024552800231,7.150989062006701,108.49123459000901,0,0,0
2025/03/21,33.8611502112365,2.009519253898496,35.870669465134995,114.50975135730364,8.080284147554366,122.59003550485801,0,0,0
2025/03/28,36.148787942653215,2.145281094194786,38.294069036848,123.63716920664982,8.724352699638189,132.361521906288,0,0,0
2025/04/04,33.44910314466639,1.487067472903611,34.93617061757,126.18974257043861,6.769530634042397,132.959273204481,0,0,0
2025/04/11,53.30037984482046,2.369607962815536,55.669987807636,177.17295238457504,9.50455801129499,186.67751039587003,0,0,0
2025/04/18,51.13021097669398,2.2731274227980194,53.403338399492,164.8204645466765,8.841900784788521,173.66236533146503,0.3111373401789141,4.200452659821086,4.51159
2025/04/25,52.834997519704416,2.348918172863584,55.183915692568,229.08091670084397,12.289194443956035,241.3701111448,1.712450931070237,23.118630068929765,24.831081
2025/05/02,52.25229880394214,2.27007261717786,54.52237142112,234.64691552576377,11.672902056906253,246.31981758267003,1.6928178689299649,22.006529131070035,23.699347
2025/05/09,75.07169633554595,3.2614488946380504,78.333145230184,261.1424205366663,12.990965131579685,274.133385668246,2.865757719209613,37.25467570249538,40.120433421704995
2025/05/16,73.87924165768493,3.209643351659068,77.088885009344,290.02508781859143,14.427781573716572,304.452869392308,4.343184838096425,56.46113820951457,60.804323047611
2025/05/23,76.90212246660512,3.3409707593788767,80.243093225984,366.3255140942021,18.223473500114892,384.548987594317,7.035901552431887,91.46629139424512,98.502192946677
2025/05/30,59.72790706687963,2.594846340112369,62.322753406992,322.2079707434474,16.028772745703577,338.23674348915097,4.169846136665812,54.20774565465818,58.377591791323994
2025/06/06,95.10292160563107,8.012857687944944,103.11577929357601,426.28313920616495,31.113295161271026,457.396434367436,8.801514056697235,118.73072287967877,127.532236936376
2025/06/13,89.74142588199312,7.561127062820873,97.302552944814,419.35841584751404,30.607877653627952,449.966293501142,13.673556533999818,184.45363390434218,198.127190438342
2025/06/20,92.30909998321043,7.777465392019565,100.08656537523,501.2448200615778,36.58455284831621,537.829372909894,14.24481383872018,192.15978449420982,206.40459833293
2025/06/27,96.91330044340414,8.16539041505186,105.078690858456,577.9914376732595,42.18608841650246,620.177526089762,19.22691482721409,259.3673635553759,278.59427838259
2025/07/04,66.41962522080416,12.760112581339826,79.17973780214399,364.30146645459905,103.59416703671496,467.895633491314,13.278131310142191,179.3118802870418,192.59001159718397
2025/07/11,151.40030908808262,29.086056754931377,180.486365843014,542.9708825870259,154.4012898279202,697.3721724149461,26.26140425465794,354.6419044887731,380.903308743431
2025/07/18,136.26310033620172,26.177993254134293,162.441093590336,550.0107082109528,156.40316173552424,706.413869946477,24.047787582824913,324.74855892756904,348.79634651039396
2025/07/25,139.04338442523604,26.712123608923974,165.75550803416002,609.1019058491406,173.2065621118794,782.30846796102,26.10896329054498,352.58329584352003,378.692259134065
2025/08/01,133.2143250602411,37.2696569138009,170.483981974042,580.5982731055375,236.5864375311486,817.1847106366861,28.655825327873494,387.55754549061146,416.213370818485
2025/08/08,185.15504064419315,51.80122210992985,236.956262754123,594.4189233501728,242.21817733680223,836.637100686975,34.52719122567642,466.9652097262115,501.49240095188793
2025/08/15,193.80173227188922,54.22032553786778,248.022057809757,698.2184551800229,284.51517095628105,982.733626136304,32.400756159122196,438.2061024379178,470.60685859704
2025/08/22,188.80215435941997,52.82158292195703,241.623737281377,786.3340059312092,320.42114107191867,1106.7551470031278,34.23485879842329,463.0115410854646,497.24639988388793
2025/08/29,200.09258916832766,55.980332039556345,256.072921207884,813.7476477670906,331.59185266741645,1145.339500434507,38.01871016797386,514.1864813464902,552.205191514464
2025/09/05,199.7700230184474,69.21615958118863,268.98618259963604,623.9515864291343,327.01311647397574,950.96470290311,30.41611758485945,414.7478243483406,445.1639419332
2025/09/12,248.0520820640683,85.94488921396973,333.996971278038,816.7399990413505,428.0535513403945,1244.793550381745,37.627035948540524,513.0744005310595,550.7014364796
2025/09/19,244.7391058137766,84.79701182293743,329.53611763671404,896.6998639557463,469.96052807898866,1366.660392034735,38.878976166624376,530.1455957687756,569.0245719354
2025/09/26,238.92861632605033,82.78379802063367,321.712414346684,905.1589842801056,474.3939542615044,1379.55293854161,34.78237125597842,474.2851471377216,509.0675183937
2025/10/03,231.62647055369501,95.953734809877,327.580205363572,889.4283757969213,566.3898075160337,1455.818183312955,55.66415137267121,578.0305058390288,633.6946572117
2025/10/10,257.0635624665003,106.49132132104376,363.55488378754404,849.5734838541231,541.0101308716629,1390.583614725786,59.55400800660718,618.4237525212948,677.977760527902
2025/10/17,260.40258113090863,107.87454540024333,368.27712653115196,1037.1745435547025,660.4748691069494,1697.649412661652,56.472863689486545,586.4283773243475,642.901241013834
2025/10/24,245.56856552916932,101.7293962909367,347.297961820106,1052.9406549248793,670.5147610501647,1723.455415975044,57.90017556479013,601.2499417410618,659.150117305852
2025/10/31,256.18623070553997,106.12787728578206,362.31410799132203,1073.6031496919668,683.6726799477331,1757.2758296396999,63.257519816664676,656.8819478257753,720.13946764244
2025/11/07,304.27324152084543,153.42512151236855,457.698363033214,1037.3655648535378,829.6730837757311,1867.038648629269,156.65009970061644,670.7290899105465,827.3791896111629
2025/11/14,310.5174107151583,156.57364818725074,467.09105890240903,1162.2612113205782,929.5631896990981,2091.8244010196763,157.63423074161273,674.9428460380032,832.5770767796159
2025/11/21,312.902077590422,157.776079933385,470.678157523807,1215.8538408846432,972.4259603023868,2188.27980118703,178.88183295048472,765.9187529769373,944.800585927422
2025/11/28,197.41095968797237,99.54145269762563,296.952412385598,873.6394793642545,698.7268379731714,1572.366317337426,129.63228549705232,555.0468530861707,684.679138583223
2025/12/05,347.1784920992729,214.97472769984216,562.153219799115,1269.9904693116605,1179.2738788207434,2449.264348132404,304.7437930592455,761.1184637878835,1065.862256847129
2025/12/12,328.8055132079113,203.59808362744377,532.4035968353551,1288.910308592251,1196.8422565324126,2485.7525651246638,312.0808351165439,779.443228086897,1091.5240632034408
2025/12/19,332.0707954144283,205.61996334978676,537.690758764215,1374.1614138808534,1276.0037967461246,2650.165210626978,315.7599804570363,788.6321451818008,1104.3921256388371
2025/12/26,231.40806876101672,143.28907954131327,374.69714830233,915.0916250796578,849.7257863430783,1764.817411422736,207.89091992146527,519.2217896143137,727.112709535779
2026/01/02,235.36885973330044,172.31470428204955,407.68356401535,1035.052960377295,1062.3078024010854,2097.3607627783804,290.1272023726322,539.8904724534418,830.0176748260741
2026/01/09,389.3261450022513,285.02759295069876,674.35373795295,1501.7506808933094,1541.2945295017394,3043.045210395049,404.731488160517,753.1547285907939,1157.886216751311
2026/01/16,350.3235087649318,256.47357039618834,606.7970791611201,1422.1809847902057,1459.6296174240053,2881.810602214211,392.3218770893311,730.0619929583008,1122.383870047632
2026/01/23,277.7215281918224,203.32130196559763,481.04283015742004,1161.8533001499518,1192.4470275847912,2354.300327734743,310.3332912039883,577.4914790339476,887.8247702379359
2026/01/30,267.2693939390367,195.6692428744933,462.93863681353,1198.2968058955794,1229.8501576490894,2428.146963544669,310.8571055044889,578.466231997001,889.32333750149
2026/02/06,375.66503520793316,301.8100179692348,677.475053177168,1571.7505458084988,1734.1306013117232,3305.881147120222,483.7889703509993,833.4970953503048,1317.286065701304
2026/02/13,359.72491072265194,289.00369103845804,648.72860176111,1531.8722337536976,1690.1323972409134,3222.004630994611,473.05438917783744,815.0029940458846,1288.0573832237221
2026/02/20,355.58235071283525,285.67555029118466,641.2579010040199,1416.1578404904722,1562.4633654692348,2978.621205959707,424.72195902675196,731.7333401037462,1156.4552991304981
2026/02/27,348.5843061565868,280.0533077204812,628.637613877068,1550.5151596299106,1710.7013535209935,3261.216513150904,447.32277184306105,770.6712096903191,1217.99398153338
2026/03/06,390.0979407887986,326.24637396777746,716.3443147565761,1656.6199159838284,1933.3899014386616,3590.00981742249,497.6555274754608,848.5191061402634,1346.1746336157241
2026/03/13,384.93483879113296,321.9283729504991,706.8632117416321,1575.3882400585023,1838.5869231600298,3413.975163218532,501.9158289283602,855.7830607858398,1357.6988897142
2026/03/20,378.8442026007628,316.8346573357813,695.6788599365441,1553.387343641464,1812.9103569513961,3366.29770059286,495.73631767116416,845.2467900546799,1340.983107725844
2026/03/27,395.8668682807993,331.07103844086475,726.937906721664,1815.209719936038,2118.475159966564,3933.684879902602,556.2634663577494,948.4475770755628,1504.7110434333122
2026/04/03,426.3734506396499,354.85358202361414,781.227032663264,1735.5408920349048,2093.4759171397727,3829.0168091746777,558.0679088589623,953.8248030201696,1511.8927118791319
2026/04/10,395.9254085458998,329.5128935113162,725.438302057216,1659.0266993998239,2001.1815665220097,3660.2082659218336,512.7224497582263,876.3223648616097,1389.044814619836
2026/04/17,388.66450766270333,323.4699359039527,712.134443566656,1648.7431107266398,1988.777107872902,3637.5202185995417,547.8915919807877,936.4318956558283,1484.323487636616
2026/04/24,403.5237336891103,335.8366758443938,739.3604095335041,1848.6426049749077,2229.90353651412,4078.5461414890274,532.8059979786992,910.6482705824849,1443.454268561184
